id,GOSI_classification,OutPut Classification,Quarter,Region,Value
362,Information and communication,"Transport, Storage & Communication",2023-Q1,KSA,123307
363,Financial and insurance activities,"Finance , Insurance and Business sevices",2023-Q1,KSA,92274
364,Real estate activities,Real Estate,2023-Q1,KSA,55674
365,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2023-Q1,KSA,225340
375,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2023-Q2,KSA,540603
376,Mining and quarrying,Mining & Quarrying,2023-Q2,KSA,157758
377,Manufacturing,Manufacturing,2023-Q2,KSA,1123456
378,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2023-Q2,KSA,38498
379,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2023-Q2,KSA,129086
380,Construction,Construction,2023-Q2,KSA,2541815
381,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q2,KSA,1629081
382,Transportation and storage,"Transport, Storage & Communication",2023-Q2,KSA,467109
383,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q2,KSA,686139
384,Information and communication,"Transport, Storage & Communication",2023-Q2,KSA,118538
385,Financial and insurance activities,"Finance , Insurance and Business sevices",2023-Q2,KSA,92610
386,Real estate activities,Real Estate,2023-Q2,KSA,54738
387,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2023-Q2,KSA,228288
397,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2023-Q3,KSA,139654
398,Mining and quarrying,Mining & Quarrying,2023-Q3,KSA,160780
399,Manufacturing,Manufacturing,2023-Q3,KSA,1184551
400,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2023-Q3,KSA,38418
401,"Water supply; sewerage, waste management and remediation activities","Electricity, Gas and Water",2023-Q3,KSA,152013
402,Construction,Construction,2023-Q3,KSA,2608274
403,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q3,KSA,1621497
404,Transportation and storage,"Transport, Storage & Communication",2023-Q3,KSA,494242
405,Accommodation and food service activities,"Wholesale & Retail Trade, Restaurants & hotels",2023-Q3,KSA,686468
406,Information and communication,"Transport, Storage & Communication",2023-Q3,KSA,106607
407,Financial and insurance activities,"Finance , Insurance and Business sevices",2023-Q3,KSA,93314
408,Real estate activities,Real Estate,2023-Q3,KSA,53671
409,"Professional, scientific and technical activities","Finance , Insurance and Business sevices",2023-Q3,KSA,234837
419,"Agriculture, forestry and fishing","Agriculture, Forestry & Fishing",2023-Q4,KSA,142402
420,Mining and quarrying,Mining & Quarrying,2023-Q4,KSA,166204
421,Manufacturing,Manufacturing,2023-Q4,KSA,1211398
422,"Electricity, gas, steam and air conditioning supply","Electricity, Gas and Water",2023-Q4,KSA,39317
